Committee ID Number|Committee Name|Committee Address|Committee City|Committee State|Committee Zip|Committee Type|Date Received|Postmark Date|Nature Of Filing|Ballot Question|Oppose Ballot Question|Ballot Type|Date over Theshold|Acronym|Separate Seg Political Fund ID|Separate Segregated Political Fund Name|SSPF Address|SSPF City|SSPF State|SSPF Zip|SSPF Type|Date Dissolved|Date of Next Election|Election Type|Won General|Won Primary
13BQC00337|2013 CENTENNIAL BOND BOARD (NOT REGISTERED)|PO BOX 324|UTICA|NE|68456|B|01/01/1900|01/01/1900|I|Utica School Bond |||01/01/1900||||||||||01/01/1900|||
13BQC00368|2013 EHLTON BOND ISSUE COMMITTEE (NOT REGISTERED)|210 9TH STREET|SHELTON|NE|68876|B|01/01/1900|01/01/1900|I|Shelton School Bond|||01/01/1900||||||||||01/01/1900|||
08BQC00200|25 COUNTIES FOR OUR FUTURE|PO BOX 2024; 1413 CRANE AVENUE|HASTINGS|NE|68902|B|08/08/2008|08/08/2008|I|Shall Central Community College, be allowed to Levy a property tax.|0||08/22/2008||||||||||11/04/2008|G||
16CAC02266|AARON A CLARK ELKHORN BOARD OF ED (NR)|NOT REGISTERED|ZIP NOT VALID|NE|00000|C|10/11/2999|10/11/2999|I|||O|12/31/2999||||||||||11/08/2999|||
08CAC01163|AARON A. CLARK FOR SCHOOL BOARD (DISSOLVED)|2211 S. 181ST CIRCLE |OMAHA|NE|68130|C|07/01/2008|06/30/2008|I||||06/26/2008|||||||||12/19/2013|11/16/2012|G||
07PAC00152|ABATE OF NE INC. PAC|1701 K STREET, P.O. BOX 30322|LINCOLN|NE|68503|S|07/25/2007|07/24/2007|I||||07/23/2007|||||||||06/09/2008||||
07CAC01019|ABBOTT FOR COUNCIL (DISSOLVED)|610 SYCAMORE DRIVE|LINCOLN|NE|68510|C|03/02/2007|03/02/2007|I||||02/28/2007|||||||||12/12/2007|04/03/2007|||
07CAC01032|ABC COMMITTEE (NOT A REGISTERED COMMITTEE)|11724 N. 172ND CIRCLE|BENNINGTON|NE|68007|C|06/06/2007|06/06/2007|I||||06/01/2007|||||||||||||
13BQC00334|ABS COMMITTEE (NOT REGISTERED)|NOT REGISTERED|OMAHA|NE|68114|B|01/01/1900|01/01/1900|I||||01/01/1900||||||||||04/13/2013|||
07IRC00480|ACTBLUE NEBRASKA|1936 RYONS STREET|LINCOLN|NE|68502|I|06/08/2007|06/06/2007|I||||06/29/2007||||||||||11/08/2012|P||
18CAC02492|ADAM GOERTZEN FOR HAMILTON COUNTY SURVEYOR ( NOT R|NOT REGISTERED|HAMPTON|NE|68843|C|01/01/1900||||||01/01/1900|||||||||||||
14CAC01954|ADAM HINTZ FOR NRD (NOT REGISTERED)|NOT REGISTERED|LINCOLN|NE|68509|C|01/01/1900|01/01/1900|I||||01/01/1900||||||||||05/13/2014|P||
15CAC02107|ADAM YALE FOR WESTSIDE BOARD EDUCATION|8748 FREDERICK STREET|OMAHA|NE|68124|C|11/06/2015|11/04/2015|I||||11/02/2015|||||||||01/16/2019|05/10/2016|P||1
11BQC00302|ADAMS CENTRAL PATRONS & TEACHERS FOR STUDENTS 2011|2706 NORTH BALTIMORE AVENUE|HASTINGS|NE|68901|B|10/28/2011|10/27/2011|I|Building a one-site elementary school|0||10/25/2011|||||||||08/03/2016|11/15/2011|||
09BQC00254|ADAMS CENTRAL PATRONS &AMP; TEACHERS FOR STUDENTS 2010|2706 NORTH BALTIMORE AVE|HASTINGS|NE|68901|B|11/20/2009|11/19/2009|I|Building a one-site elementary School|0|I|11/13/2009|||||||||10/15/2010|05/11/2010|P||
16PPC00073|ADAMS COUNTY DEMOCRATS (NOT REGISTERED)|PO BOX 1142 |HASTINGS|NE|68902|T|01/01/1900||||||01/01/2016|||||||||||||
99CAC00509|ADAMS FOR MAYOR (DISSOLVED)|BOX 468|||687020468|C|09/26/2000|09/26/2000|I||0|I|02/09/2000|||||||||12/21/2001|11/07/2000|G||
99CAC00714|ADAMS FOR MAYOR OF NORFOLK NE (DISSOLVED)|BOX 468|NORFOLK|NE|68702|C|08/25/2004|08/24/2004|I||0|I|10/19/2004|||||||||01/03/2006|11/02/2004|G|1|1
12CAC01680|ADAMS FOR SUPERVISOR (NOT REGISTERED)|116 NORTH DOUGLAS STREET, BOX 37|BLUE SPRINGS|NE|68318|C|01/01/1900|01/01/1900|I||||01/01/1900||||||||||05/15/2012|P||
12CAC01698|ADRIAN PETRESCU FOR LEGISLATURE (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|OMAHA|NE|68145|C|08/15/2012||||||12/31/9999|||||||||||||
08BQC00210|ADVOCATES FOR BETTER CLASSROOMS (NOT REGISTERED)|525 WEST OAK AVENUE|ELM CREEK|NE|68836|B|12/31/9999|12/31/9999|I||||12/31/9999||||||||||11/04/2008|G||
11BQC00298|ADVOCATES FOR CMS (DISSOLVED)|3660 BROOKSHIRE PL|COLUMBUS|NE|68601|B|09/07/2011|09/06/2011|I|Build New Middle School|0||09/01/2011|||||||||06/06/2014|10/11/2011|||
99PAC00027|AGC PAC (HIGHWAY IMPROVEMENT PAC)|635 SOUTH 14TH STREET-STE# 125|LINCOLN|NE|68508|S|04/26/1985|04/26/1985|I||0|I|04/26/1985||||||||||11/08/2012|G||
99CAC00018|AGENA FOR ASSESSOR (DISSOLVED)|941 DAYBREAK DRIVE|LINCOLN|NE|68505|C|11/29/1989|11/29/1989|I||0| |11/29/1989|       |          |||||||07/30/1998|05/04/1998|P|0|0
99CAC00587|AGENA FOR COUNTY ASSESSOR / REGISTER OF DEEDS(DISS|6901 FOREST LAKE BLVD|LINCOLN|NE|68516|C|03/15/2002|03/14/2002|I||0|I|03/15/2002|||||||||08/04/2015|11/07/2006|G||1
99BQC00036|AGRICULTURE, MAIN STREET, AND EDUCATION AGAINST CO|605 SOUTH 14TH STREET SUITE 100|LINCOLN|NE|68508|B|09/04/1998|09/04/1998|I|CONSTITUTIONAL AMENDMENT 413                      |1|I|09/04/1998||99IRC00027||||||R|08/31/1999|11/04/1998|G|0|0
99BQC00036|AGRICULTURE, MAIN STREET, AND EDUCATION AGAINST CO|605 SOUTH 14TH STREET SUITE 100|LINCOLN|NE|68508|B|01/04/1999|09/04/1998|A|CONSTITUTIONAL AMENDMENT 413                      |1|I|09/04/1998||99IRC00027||||||R|01/04/1999|11/04/1998|G|0|0
08PAC00156|AIA-AMERICAN INSTITUTE OF ARCHITECTS PAC|335 N 8TH STREET|LINCOLN|NE|68508|P|08/28/2008|08/27/2008|I||||09/22/2008||||||||||11/05/2012|G||
13CAC01792|AJA ANDERSON FOR SCHOOL BOARD (NOT REGISTERED)|111 HAND|ZIP NOT VALID|NE|00001|C|01/01/1900|01/01/1900|I||||01/01/1900|||||||||||||
12CAC01650|AL DAVIS FOR LEGISLATURE|66455 PONDEROSA RD|HYANNIS|NE|69350|C|04/05/2012||I||||03/20/2012|||||||||05/08/2017|11/04/2016|G||1
17CAC02338|AL RISKOWSKI FOR LEGISLATURE|4605 W SPRAGUE ROAD|HALLAM|NE|68368|C|09/29/2017|09/29/2017|I||||01/01/1900|||||||||07/23/2019|05/15/2018|P||
09CAC01323|ALAN MOORE ESU 3|NOT A REGISTERED COMMITTEE|MILLARD|NE|68425|C|12/31/9999|12/31/9999|I||||12/31/2008||||||||||11/04/2008|G||
18CAC02519|ALAN RONAN LAVISTA CITY COUNCIL 3 (NOT REGISTERED)|NOT REGISTERED|LA VISTA|NE|68128|C|01/01/1900||||||01/01/1900|||||||||||||
99CAC00440|ALDONA DOYLE FOR SARPY COUNTY BOARD (DISSOLVED)|7805 ARROW ROCK DRIVE|BELLEVUE|NE|68157|C|03/28/2000|03/27/2000|I||0|I|03/20/2000|||||||||01/25/2010|11/02/2004|G|1|1
99CAC00238|ALEX MORENO FOR SHERIFF (DISSOLVED)|1590 BEVERLY BLVD|GERING|NE|69341|C|05/18/1998|05/18/1998|I||0|I|05/18/1998|       |          |||||||02/02/2005|05/14/2002|P|0|0
99CAC00087|ALFREDO RAMIREZ ELECTION COMMITTEE (DISSOLVED)|904 RIVERSIDE BLVD  BOX 403|NORFOLK|NE|68701|C|05/04/1998|05/04/1998|I||0|I|05/04/1998|       |          |||||||01/31/2003|05/09/1999|P|0|0
10BQC00278|ALL THINGS NEBRASKA|1141 H STREET, SUITE B|LINCOLN|NE|68508|I|09/29/2010|09/29/2010|I||||09/29/2010||||||||||11/02/2010|G||
10CAC01506|ALLEN FOR EDUCATION (DISSOLVED)|450 EAST ROAD 60|OGALLALA|NE|69153|C|10/27/2010|10/25/2010|I||||10/25/2010|||||||||01/12/2011|11/02/2010|G||
99CAC00139|ALLEN FOR REGENT COMMITTEE (DISSOLVED)|1115 WEST 2ND STREET|HASTINGS|NE|68901|C|10/04/1988|10/04/1988|I||0|I|10/04/1988|       |          |||||||05/30/2000|05/04/1994|P|0|0
