Form A1 ID Number|Date Received|Candidate ID|Candidate Last Name|Candidate First Name|Candidate Middle Initial|Support/Oppose|Office Sought|Office Title|Office Description
99CAC00389|04/13/1999|99FIS01137|KUBICEK|TERRENCE|L|0|MAYOR-LINCOLN                                     |MAYOR|LINCOLN
99CAC00205|04/01/1994|99FIS01423|JENSEN|JAMES|H|0|LEGISLATURE - DISTRICT 20-LEGISLATIVE COUNCIL     |20|LEGISLATURE
09CAC01379|09/03/2009|99FIS01527|MORGAN|P.J.| |0|COUNTY COMMISSIONER DIST. #04|COUNTY COMMISSIONER DIST. #04|DOUGLAS
99CAC00021|03/21/1986|99FIS01775|ANDERSON|RICHARD|D|0|COUNTY ATTORNEY-BUFFALO                           |COUNTY ATTORNEY|BUFFALO
99CAC00654|01/28/2004|99FIS01786|ARGANBRIGHT|WARREN|R|0|43-LEGISLATURE                                    |43|LEGISLATURE
99CAC00006|09/14/1981|99FIS00006|WESELY|DON| |0|MAYOR-LINCOLN                                     |MAYOR|LINCOLN
12CAC01630|03/13/2012|99FIS00008|LARSEN|LILLIAN|M|0|01|01|STATE BOARD OF EDUCATION
99CAC00456|04/10/2000|99FIS00009|EDWARDS|PAUL| |0|LEGISLATURE - DISTRICT 27-LEGISLATIVE COUNCIL     |27|LEGISLATURE
99CAC00003|02/22/1999|99FIS00010|COOK|JONATHAN| |0|CITY COUNCIL DISTRICT #03-LINCOLN                 |CITY COUNCIL DISTRICT #03|LINCOLN
99CAC00248|02/28/1997|99FIS00010|COOK|JONATHAN| |0|CITY COUNCIL AT LARGE-LINCOLN                     |CITY COUNCIL AT LARGE|LINCOLN
99CAC00008|02/01/1999|99FIS00011|SVOBODA|KEN| |0|CITY COUNCIL AT LARGE-LINCOLN                     |CITY COUNCIL AT LARGE|LINCOLN
09CAC01367|03/09/2009|99FIS00011|SVOBODA|KEN| |0|CITY COUNCIL AT LARGE|CITY COUNCIL AT LARGE|LINCOLN
06CAC00937|09/26/2006|99FIS00011|SVOBODA|KEN| |0|MAYOR|MAYOR|LINCOLN
