Committee Name|Form ID|Committee ID|Postmark Date|Date Received|Microfilm Number|Recipient Name|Recipient Address|Recipient City|Recipient State|Recipient Zip|Recipient Phone|Expenditure Date|Amount|Candidate ID|Candidate Support/Oppose|Ballot Question ID|Ballot Support/Oppose|Date Last Revised|Last Revised By|Candidate/Ballot Name
AGC PAC (HIGHWAY IMPROVEMENT PAC)|06CFL002176|99PAC00027|10/31/2006|10/31/2006|0|Wildberry Production, Miller Mailing, Augstums Printing||Lincoln|NE|68502||10/31/2006|3880.91|05FIS09994|S |||11/06/2006|nadc01|WILLIAM (BILL)  P AVERY
AGC PAC (HIGHWAY IMPROVEMENT PAC)|08CFL003235|99PAC00027|10/29/2008|10/29/2008|7830244|ASAP Print Services|5012 Bunker HIll Road|Lincoln|NE|68521||10/27/2008|3755.87|08FIS11036|S |||11/04/2008|nadc01|KENNETH W HAAR
AGC PAC (HIGHWAY IMPROVEMENT PAC)|08CFL003236|99PAC00027|10/29/2008|10/29/2008|7830245|ASAP Print Services|5012 Bunker HIll Road|Lincoln|NE|68521|5012|10/27/2008|3714.25|99FIS09526|S |||11/04/2008|nadc01|LAVON L HEIDEMANN
AGC PAC (HIGHWAY IMPROVEMENT PAC)|16CFL005979|99PAC00027|11/23/2016|11/23/2016|9720138|NEBRASKA PRESS ADVERTISING SERVICE|845 S STREET|LINCOLN|NE|68508|4024762851|04/28/2016|2847.22|12FIS12221|S |||11/28/2016|nadc06|SUE E CRAWFORD
AGC PAC (HIGHWAY IMPROVEMENT PAC)|16CFL005980|99PAC00027|11/23/2016|11/23/2016|9720139|NEBRASKA PRESS ADVERTISING SERVICE|845 S STREET|LINCOLN|NE|68508|4021762851|04/28/2016|2847.22|11FIS12209|S |||11/28/2016|nadc06|RICHARD L KOLOWSKI
AGC PAC (HIGHWAY IMPROVEMENT PAC)|16CFL005981|99PAC00027|11/23/2016|11/23/2016|9720140|NEBRASKA PRESS ADVERTISING SERVICE|845 S STREET|LINCOLN|NE|68508|4024762851|04/28/2016|2847.22|11FIS12198|S |||11/28/2016|nadc06|SARA E HOWARD
AGC PAC (HIGHWAY IMPROVEMENT PAC)|16CFL005982|99PAC00027|11/23/2016|11/23/2016|9720141|NEBRASKA PRESS ADVERTISING SERVICE|845 S STREET |LINCOLN |NE|68508|4024762851|04/28/2016|1108.1|12FIS12248|S |||11/28/2016|nadc06|LES R SEILER
AGC PAC (HIGHWAY IMPROVEMENT PAC)|16CFL005984|99PAC00027|11/23/2016|11/23/2016|9720142|NEBRASKA PRESS ADVERTISING SERVICE|845 S STREET|LINCOLN|NE|68508|4024762851|04/28/2016|3878.74|99FIS00438|S |||11/28/2016|nadc06|ALBERT T DAVIS
AGC PAC (HIGHWAY IMPROVEMENT PAC)|16CFL005985|99PAC00027|11/23/2016|11/23/2016|9720143|NEBRASKA PRESS ADVERTISING SERVICE|845 S STREET|LINCOLN|NE|68508|4024762851|04/28/2016|2513.25|11FIS12206|S |||11/28/2016|nadc06|GERALD D JOHNSON
AGC PAC (HIGHWAY IMPROVEMENT PAC)|17CFL006019|99PAC00027|05/02/2017|05/02/2017|9890242|BCOM SOLUTIONS|919 CNTRAL AVE|AUBURN|NE|68305|4024144290|05/01/2017|4375|07FIS10952|S |||05/09/2017|nadc06|HEATH  MELLO
ALL THINGS NEBRASKA|12CFL004850|10BQC00278|11/06/2012|11/06/2012|8730216|Red State Strategies|Po Box 540975|Omaha|NE|68154-0975|4029340770|11/02/2012|7500|11FIS12194|O |||11/13/2012|nadc06|RICHARD  CARTER
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003185|08IRC00484|10/28/2008|10/28/2008|7830246|Clark Creative Group -Paul Eurek|514 S. 13th Street|omaha|NE|68102||10/27/2008|4995.7|07FIS10951|O |||11/04/2008|nadc01|PAUL  EUREK
