Committee Name|Committee ID|Date Received|Transaction Date|Amount|Type of Transaction|Description
DWITE PEDERSEN FOR PUBLIC OFFICE (INACTIVE/DISSOL)|99CAC00169|01/10/2005|11/20/2004|50|C|REBATE FROM HP ( PRIOR COMPUTOR PURCHASE
DWITE PEDERSEN FOR PUBLIC OFFICE (INACTIVE/DISSOL)|99CAC00169|01/10/2005|11/12/2004|287.33|C|REIMBURSEMENT FOR TAIL LIGHT DAMAGE     
COMMITTEE TO ELECT BEV PETERSON|99CAC00171|01/10/2001|11/06/2000|250|O|LATE FILING FEE                         
CAROL MCBRIDE PIRSCH FOR DOUGLAS COUNTY BOARD|99CAC00175|01/31/2002|03/30/2001|1556|O|USPS PERMIT BALANCE REFUND              
LINDA POOLE FOR MILLARD SCHOOL BOARD|99CAC00177|01/08/2002|12/31/2000|1645|C|RETURN OF CONTRIBUTIONS TO LINDA POOLE  
PEOPLE FOR PREISTER|99CAC00178|01/16/2001|12/31/2000|250|C|RETURNED $250 FROM NE STATE AFL-CIO     
FRIENDS OF DEB HOUGHTALING SARPY COUNTY CLERK|99CAC00186|01/04/2012|12/31/2011|-200|A|misc cash expenditures
HUTCHINGS FOR COUNTY BOARD COMMITTEE|99CAC00187|12/23/2010|10/20/2010|63|A|Bank Service Fees
NEBRASKANS FOR JON CHRISTENSEN COMMITTEE(DISSOLVED|99CAC00190|03/21/2000|03/15/2000|2368.11|O|PAYMENT MADE AFTER CLOSING BANK ACCOUNT 
NEBRASKANS FOR JON CHRISTENSEN COMMITTEE(DISSOLVED|99CAC00190|03/21/2000|01/01/1998|4490.25|O|RETURN DEPOSIT FOR PHONE                
CONNEALY FOR LEGISLATURE (DISSOLVED)|99CAC00191|01/29/2007|12/31/2006|79.18|O|voided alltel check
CONNEALY FOR LEGISLATURE (DISSOLVED)|99CAC00191|01/20/2000|12/31/1999|.53|C|FROM PREVIOUS STATEMENT                 
DIERKS FOR LEGISLATURE (2002)|99CAC00195|06/24/2002|06/02/2002|21.98|C|INTEREST TRANSFERRED FROM CD            
DIERKS FOR LEGISLATURE (2002)|99CAC00195|05/06/2002|04/25/2002|3500|C|TRANSFER CD TO CHECKING                 
DIERKS FOR LEGISLATURE (2002)|99CAC00195|05/06/2002|04/25/2002|30.2|C|INTEREST TRANSFERRED FROM CD            
DIERKS FOR LEGISLATURE (2002)|99CAC00195|05/06/2002|04/08/2002|36.99|C|INTEREST TRANSFERRED FROM CD            
DIERKS FOR LEGISLATURE (2002)|99CAC00195|04/15/2002|01/25/2002|30.87|C|INTEREST TRANSFERRED FROM CD            
DIERKS FOR LEGISLATURE (2002)|99CAC00195|04/15/2002|01/07/2002|37.81|C|INTEREST TRANSFERRED FROM CD            
DIERKS FOR LEGISLATURE (2002)|99CAC00195|01/31/2002|12/31/2001|542.8|C|INTEREST FROM 2 CD'S & CK ACCT          
DIERKS FOR LEGISLATURE (2002)|99CAC00195|01/31/2002|10/25/2001|3000|C|TRANSFERRED CD TO CK ACCT               
DIERKS FOR LEGISLATURE (2002)|99CAC00195|01/31/2002|01/08/2001|1500|C|TRANSFERRED CD TO CK ACCT               
DIERKS FOR LEGISLATURE (2002)|99CAC00195|02/01/2001|12/31/2000|628.13|C|SAVINGS ACCT AT EWING FARMERS BANK      
DIERKS FOR LEGISLATURE (2002)|99CAC00195|02/01/2001|10/26/2000|1500|C|TRANSFERRED CD TO CHECKING ACCT         
DIERKS FOR LEGISLATURE (2002)|99CAC00195|01/28/2000|12/31/1999|730.85|O|SAVINGS ACCT                            
DUNNING FOR SHERIFF|99CAC00201|06/21/2002|05/15/2002|200|C|OMAHA POLICE UNION RETURNED DEPOSIT     
DUNNING FOR SHERIFF|99CAC00201|01/25/2000|06/23/1999|18000|C|PURCHASED A C.O.D. AT US BANK           
