Committee Name|Committee ID|Date Last Revised|Last Revised By|Date Received|Postmark Date|Microfilm Number|Type of Contributor|PAC ID|Description Of Services|Report ID|PAC Name
JOHN HENRY'S PLUMBING, HEATING & AIR, CO.|99CON00807|09/27/2004|CORIEJ  |09/23/2004|09/22/2004|6840205|C|          ||
VILLAGE LAND COMPANY|99CON00981|08/12/2002|TERII   |08/05/2002|08/02/2002|6430094|C|          ||
BLUE RIVER LAND CORPORATION|99CON01013|01/28/2002|TERII   |01/22/2002|01/22/2002|6250145|C|          ||
LINCOLN FEDERAL BANCORP|99CON01014|09/20/2004|CORIEJ  |09/16/2004|09/15/2004|6840174|C|          ||
TRACEY BROADCASTING|99CON01110|10/16/2000|KAREN   |10/05/2000|10/03/2000|5980101|C|          ||
FIRST STATE BANK OF HICKMAN|99CON01393|02/24/2005|CORIEJ  |02/10/2005|02/09/2005|6920234|C|          ||
AMERICAN NATIONAL BANK - OMAHA|99CON01398|02/24/2005|SERENAD |01/31/2005|01/27/2005|6920087|C|          ||
FIRST STATE BANK( SCOTTSBLUFF)|99CON01399|09/27/2000|KATHYS  |10/12/1999|10/08/1999|5760055|C|          ||
FIRST STATE BANK( SCOTTSBLUFF)|99CON01399|09/27/2000|KATHYS  |03/15/2000|03/14/2000|5870040|C|          ||
WERNER CONSTRUCTION, INC.|99CON01406|08/26/2002|TERII   |08/19/2002|08/16/2002|6430140|C|          ||
M.E. COLLINS CONTRACTING CO. INC.|99CON01414|12/03/2001|TERII   |11/26/2001|11/19/2001|6220126|C|          ||
M.E. COLLINS CONTRACTING CO. INC.|99CON01414|07/12/2002|TERII   |07/10/2002|07/08/2002|6420208|C|          ||
M.E. COLLINS CONTRACTING CO. INC.|99CON01414|11/01/2004|CORIEJ  |10/26/2004|10/25/2004|6870108|C|          ||
WISE-MACK, INC|99CON01423|11/29/2000|KAREN   |11/21/2000|11/20/2000|6010155|C|          ||
HOSE & HANDLING, INC.|99CON01537|12/04/2000|KAREN   |11/28/2000|11/27/2000|6010169|C|          ||
NORTH PLATTE HOME BUILDERS ASS|99CON01573|05/21/2001|SERENAD |05/16/2001|05/14/2001|6180214|C|          ||
HIGH PLAINS BUDWEISER (PIVO, INC.)|99CON01708|10/15/2001|TERII   |10/09/2001|10/09/2001|6210247|C|          ||
K & Z DISTRIBUTING COMPANY |99CON01731|10/18/2004|CORIEJ  |10/12/2004|10/12/2004|6860024|C|          ||
K & Z DISTRIBUTING COMPANY |99CON01731|11/29/2004|SERENAD |11/22/2004|11/19/2004|6880114|C|          ||
DELOITTE, LLP|99CON01871|04/12/2001|KAREN   |04/05/2001|04/04/2001|6150187|C|          ||
CHUBB'S FINER FOODS (USE REAL FOODS, INC.)|99CON02210|10/13/2004|CORIEJ  |10/08/2004|10/07/2004|6850184|C|          ||
CHUBB'S FINER FOODS (USE REAL FOODS, INC.)|99CON02210|11/01/2004|CORIEJ  |10/29/2004|10/28/2004|6870091|C|          ||
SPRINT|99CON02331|03/02/2001|KAREN   |01/12/2001|01/11/2001|0      |C|          ||
SPRINT|99CON02331|03/04/2002|TERII   |02/27/2002|02/26/2002|6300199|C|          ||
SPRINT|99CON02331|04/15/2002|TERII   |04/09/2002|04/08/2002|6380001|C|          ||
PUBLICATION PRINTING OF NE, IN|99CON02366|06/07/2004|CHERYLD |06/03/2004|06/02/2004|6810057|C|          ||
UNEMED CORPORATION|99CON02473|10/02/2000|KAREN   |09/28/2000|09/26/2000|5980013|C|          ||
BURKES LIST MANAGEMENT SVCS|99CON02476|10/06/2003|PATTIEV |10/03/2003|10/02/2003|6640013|C|          ||
BRASHEAR, LLP|99CON02503|02/08/2007|nadc06|06/08/2001|06/07/2001|6190123|C|          ||
KINDER-MORGAN|99CON02687|12/19/2000|KAREN   |12/15/2000|12/15/2000|6010234|C|          ||
KINDER-MORGAN|99CON02687|10/23/2001|TERII   |10/18/2001|10/14/2001|6220019|C|          ||
KINDER-MORGAN|99CON02687|11/05/2001|TERII   |11/01/2001|10/30/2001|6220053|C|          ||
KINDER-MORGAN|99CON02687|06/28/2002|TERII   |06/26/2002|06/24/2002|6420132|C|          ||
KINDER-MORGAN|99CON02687|05/24/2004|CHERYLD |05/17/2004|05/14/2004|6800151|C|          ||
FREMONT AREA SERVICE CLUB|99CON02741|10/02/2000|KAREN   |09/26/2000|09/15/2000|5980002|C|          ||
FIRST STATE BANK(FREMONT)|99CON02742|02/25/2004|PATTIEV |01/29/2004|01/28/2004|6670051|C|          ||
FIRST STATE BANK(FREMONT)|99CON02742|08/16/2004|SERENAD |08/09/2004|08/06/2004|6830188|C|          ||
CORPORATE EXPRESS|99CON02771|12/19/2000|KAREN   |12/15/2000|12/14/2000|6010224|C|          ||
CYTOGENETICS|99CON02792|12/19/2000|KAREN   |12/15/2000|12/14/2000|6010226|C|          ||
THOMAS INVESTMENT COMPANY INC.|99CON02821|11/15/2000|KAREN   |10/30/2000|10/27/2000|6000212|C|          ||
FIRST CHRISTIAN CHURCH|99CON02862|01/05/2001|KAREN   |12/26/2000|12/22/2000|6020058|C|          ||
BARKEL ENTERPRISES, INC.|99CON02879|10/30/2000|KAREN   |10/25/2000|10/24/2000|5990177|C|          ||
BARKEL ENTERPRISES, INC.|99CON02879|11/20/2000|KAREN   |11/14/2000|11/13/2000|6010108|C|          ||
BARKEL ENTERPRISES, INC.|99CON02879|10/08/2004|DAVIDH  |09/10/2004|09/10/2004|6840099|C|          ||
LINCOLN ORTHOPEDIC & SPORTS ME|99CON02883|11/15/2000|KAREN   |11/09/2000|11/08/2000|6010052|C|          ||
SEXTRO-LARSON PODIATRY, PC|99CON02923|11/15/2000|KAREN   |10/30/2000|10/26/2000|6000209|C|          ||
LAMAR COMPANIES, THE|99CON02924|02/24/2005|SERENAD |02/03/2005|02/02/2005|6920111|C|          ||
BEN FRANKLIN OF HASTINGS, INC|99CON02933|12/27/2000|KAREN   |12/21/2000|12/21/2000|6020017|C|          ||
SHERRY'S HALLMARK, INC|99CON02934|12/27/2000|KAREN   |12/21/2000|12/21/2000|6020030|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|10/21/2002|SERENAD |10/18/2002|10/16/2002|6450107|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|04/21/2003|SERENAD |04/18/2003|04/16/2003|6610011|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|07/14/2003|PATTIEV |07/11/2003|07/09/2003|6630093|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|07/02/2004|DAVIDH  |05/10/2004|05/07/2004|6800116|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|06/07/2004|CHERYLD |06/04/2004|06/02/2004|6810060|C|          ||
CHRIST'S PLACE|99CON03516|02/05/2001|KAREN   |01/04/2001|01/03/2001|6020128|C|          ||
KING OF KINGS LUTHERAN CHURCH|99CON03517|12/27/2000|KAREN   |12/22/2000|12/21/2000|6020025|C|          ||
BURWELL BAPTIST CHURCH|99CON03518|01/05/2001|KAREN   |12/27/2000|12/26/2000|6020056|C|          ||
LINCOLN AESTHETIC & RECONSTRUC|99CON03525|07/02/2001|TERII   |06/27/2001|06/26/2001|6200108|C|          ||
LINCOLN FAMILY WELLNESS, P.C.|99CON03526|06/18/2001|PATTIEV |06/14/2001|06/13/2001|6190237|C|          ||
IMPERIAL COURT OF NE, INC|99CON03600|04/02/2001|PATTIEV |03/22/2001|03/21/2001|6100245|C|          ||
SOUTHWEST STUFF|99CON03603|11/15/2000|KAREN   |10/31/2000|10/30/2000|6000210|C|          ||
ASSOC. OF NE COMMUNITY ACTION|99CON03608|02/05/2001|KAREN   |01/12/2001|01/12/2001|6030014|C|          ||
METRO COMMUNITY COLLEGE EDU.|99CON03648|12/19/2000|KAREN   |12/14/2000|12/14/2000|6010235|C|          ||
NORFOLK DAILY NEWS|99CON03651|10/08/2002|TERII   |10/04/2002|10/03/2002|6440110|C|          ||
CATHOLIC BISHOP OF LINCOLN, THE|99CON03674|11/20/2000|KAREN   |11/14/2000|11/10/2000|6010127|C|          ||
CONGREGATION OF TEMPLE ISRAEL|99CON03840|02/16/2001|KAREN   |01/29/2001|01/26/2001|6040241|C|          ||
OMAHA PAPER STOCK COMPANY, INC|99CON04053|03/23/2001|KAREN   |03/13/2001|03/12/2001|6090036|C|          ||
OMAHA PAPER STOCK COMPANY, INC|99CON04053|03/30/2005|nadc03|02/14/2005|02/10/2005|6930072|C|          ||
WERNER FAMILY BUSINESS, INC.|99CON04057|02/22/2001|KAREN   |02/06/2001|02/05/2001|6050073|C|          ||
BELLEVUE KENO, INC.|99CON04070|03/21/2001|KAREN   |02/27/2001|02/26/2001|6060057|C|          ||
SUBBY ANZALDO ENTERTAINMENT|99CON04207|03/22/2001|KAREN   |03/09/2001|03/08/2001|6070185|C|          ||
WEITZ COMPANY, INC, THE|99CON04208|03/22/2001|KAREN   |03/09/2001|03/08/2001|6070188|C|          ||
HALLMARQ CONSTRUCTION, INC.|99CON04238|03/21/2001|KAREN   |02/28/2001|02/27/2001|6060067|C|          ||
MTAC, INC.|99CON04243|03/21/2001|KAREN   |03/01/2001|02/27/2001|6060076|C|          ||
MTAC, INC.|99CON04243|03/23/2001|KAREN   |03/12/2001|03/09/2001|6090027|C|          ||
MTAC, INC.|99CON04243|06/04/2001|SERENAD |05/30/2001|05/29/2001|6190054|C|          ||
ROBERT HANCOCK INVESTMENTS|99CON04252|05/29/2001|SERENAD |05/23/2001|05/22/2001|6190005|C|          ||
ROBERT HANCOCK INVESTMENTS|99CON04252|07/16/2001|TERII   |07/09/2001|07/06/2001|6200211|C|          ||
ROBERT HANCOCK INVESTMENTS|99CON04252|02/11/2002|TERII   |02/04/2002|02/01/2002|6270230|C|          ||
DICON CORPORATION|99CON04335|07/02/2001|TERII   |06/25/2001|06/22/2001|6200104|C|          ||
DICON CORPORATION|99CON04335|11/01/2004|CORIEJ  |10/25/2004|10/22/2004|6870095|C|          ||
|99CON04348|03/23/2001|KAREN   |03/14/2001|03/13/2001|6090002|C|          ||
MASON VIDEO|99CON04350|10/23/2001|TERII   |10/15/2001|10/12/2001|6220021|C|          ||
B.W.S. LEASING, INC.|99CON04351|03/23/2001|KAREN   |03/12/2001|03/08/2001|6090009|C|          ||
BOYER YOUNG DEVELOPMENT COMPANY|99CON04353|03/23/2001|KAREN   |03/14/2001|03/13/2001|6090006|C|          ||
BOYER YOUNG DEVELOPMENT COMPANY|99CON04353|06/14/2004|CHERYLD |06/10/2004|06/09/2004|6810099|C|          ||
BOYER YOUNG DEVELOPMENT COMPANY|99CON04353|06/14/2004|CHERYLD |06/11/2004|06/09/2004|6810100|C|          ||
BOYER YOUNG DEVELOPMENT COMPANY|99CON04353|07/12/2004|SERENAD |07/06/2004|07/01/2004|6820205|C|          ||
BOYER YOUNG DEVELOPMENT COMPANY|99CON04353|10/13/2004|CORIEJ  |10/04/2004|09/30/2004|6850181|C|          ||
BOYER YOUNG DEVELOPMENT COMPANY|99CON04353|12/13/2004|SERENAD |12/09/2004|12/08/2004|6880170|C|          ||
BOYER YOUNG DEVELOPMENT COMPANY|99CON04353|01/18/2005|CORIEJ  |01/11/2005|01/10/2005|6900160|C|          ||
