Contributor Name|Form ID|Contributor ID|Postmark Date|Date Received|Microfilm Number|Contributor Type|Date Last Revised|Last Revised By|Contributor Phone
INTERNATIONAL ASSN OF FIRE FIGHTERS  91-2081258 |11CFL004753|99CUA02822|09/07/2011|09/12/2011|0|L|09/14/2011|nadc01|
BOYD GAMING CORPORATION|06CFL000364|06CUA03631|04/03/2006|04/03/2006|7260024|C|05/02/2006|nadc01|7027927200
BOYD GAMING CORPORATION|06CFL000389|06CUA03631|05/05/2006|05/05/2006|7300018|C|05/12/2006|nadc06|7027927200
FORT MCDOWELL YAVAPAI NATION|06CFL000408|06CON11358|05/10/2006|05/10/2006|7300145|P|05/15/2006|nadc06|4808167146
AMERICA AT ITS BEST (MT)|06CFL000438|06CON11374|06/13/2006|06/13/2006|7320095|C|06/19/2006|nadc06|4062576001
AMERICA AT ITS BEST (MT)|06CFL000524|06CON11374|08/08/2006|08/08/2006|7340134|C|08/14/2006|nadc06|4062576001
NATIONAL EDUCATION ASSOCIATION|06CFL002221|06CUA03815|11/09/2006|11/09/2006||L|11/09/2006|nadc06|2028334000
AMERICA AT ITS BEST (MT)|06CFL002227|06CON11374|11/09/2006|11/09/2006||C|11/13/2006|nadc06|4062576001
REPUBLICAN STATE LEADERSHIP COMMITTEE|09CFL003687|09CUA06199|07/06/2009|07/09/2009|8030019|P|07/13/2009|nadc06|5714804860
REPUBLICAN STATE LEADERSHIP COMMITTEE|09CFL003450|09CUA06199|05/08/2009|05/11/2009|8010119|P|05/18/2009|nadc06|5714804860
BOYD GAMING CORPORATION|06CFL000535|06CUA03631|09/06/2006|09/06/2006|7350062|C|09/11/2006|nadc06|7027927200
BOYD GAMING CORPORATION|06CFL000431|06CUA03631|06/06/2006|06/06/2006|7310234|C|06/12/2006|nadc06|7027921150
AMERICA AT ITS BEST (MT)|06CFL000826|06CON11374|09/11/2006|09/11/2006|7350142|C|09/18/2006|nadc06|4062576001
AMERICA AT ITS BEST (MT)|06CFL001355|06CON11374|10/06/2006|10/06/2006|7360128|C|10/16/2006|nadc05|4062576001
COLORADO AT ITS BEST|06CFL001364|06CUA03813|10/10/2006|10/10/2006||C|10/16/2006|nadc01|
REPUBLICAN GOVERNORS ASSOCIATION|06CFL001389|06CON12390|10/25/2006|10/25/2006||P|10/25/2006|nadc06|2026624140
TEAM SAM|08CFL002594|08CUA04930|05/20/2008|05/27/2008|7780014|C|06/03/2008|nadc06|3129200080
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL003110|08CON13671|09/10/2008|09/15/2008|7810022|C|09/22/2008|nadc06|9164442278
AMERICA AT ITS BEST (MT)|06CFL000505|06CON11374|07/06/2006|07/06/2006|7330173|C|07/10/2006|nadc06|4062576001
COLORADO AT ITS BEST|06CFL000512|06CUA03813|07/07/2006|07/07/2006|7330175|C|07/10/2006|nadc06|3032783636
NATIONAL EDUCATION ASSOCIATION|06CFL000518|06CUA03815|07/10/2006|07/10/2006|7330229|L|07/17/2006|nadc06|2028334000
AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES|06CFL001357|99CUA01007|10/05/2006|10/10/2006||C|10/16/2006|nadc01|9164411570
