Contributor Name|Form B9 ID|Form ID|Recipient ID|Support/Oppose|Nature of Expenditure|Expenditure Date|Previous Total|Amount|Total|Description|Entry Date|Recipient Name
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002632|07BQC00181|S|A|01/07/2008||4584.22|4584.22|None|061320081022147839|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002633|07BQC00181|S|B|01/26/2008||1500|1500|None|0613200810225825085|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002634|07BQC00181|S|B|02/24/2008||1500|1500|None|0613200810233519562|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002635|07BQC00181|S|A|05/12/2008||25000|25000|None|0613200810240825209|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002636|07BQC00181|S|A|05/16/2008||12000|12000|None|0613200810243419673|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002637|07BQC00181|S|A|05/19/2008||50000|50000|None|0613200810250225300|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002638|07BQC00181|S|A|05/22/2008||30000|30000|None|0613200810252825340|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002607|08CFL002639|07BQC00181|S|A|05/29/2008||25000|25000|None|061320081025558187|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CFL002687|07BQC00181|S|A|06/03/2008|149584.22|100000|249584.22|None|0714200810262425950|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CFL002687|07BQC00181|S|A|06/03/2008||100000|100000|None|0714200810262425950|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CFL002688|07BQC00181|S|A|06/12/2008||40000|40000|None|07142008102733663|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CFL002689|07BQC00181|S|A|06/17/2008|0|85000|85000|None|0714200810280926115|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CFL002690|07BQC00181|S|A|06/27/2008|0|65000|65000|None|0714200810284426151|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002706|08CFL002709|07BQC00181|S|A|07/02/2008||60000|60000||0814200810143626111|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002706|08CFL002710|07BQC00181|S|A|07/11/2008||16500|16500||081420081015174709|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002706|08CFL002711|07BQC00181|S|A|07/31/2008|15000||15000||0814200810155626297|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL003110|08CFL003145|07BQC00181|S|A|08/15/2008||10000|10000||1015200814203027861|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL003250|08CFL003259|07BQC00181|S|A|10/08/2008|0|18000|18000|None|1113200810292721297|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL003250|08CFL003260|07BQC00181|S|A|10/23/2008||28500|28500|None|1113200810295112557|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|10CFL004283|10CFL004285|07BQC00181|S|B|01/29/2010|28655.83||28655.83||0216201015164016061|NEBRASKA CIVIL RIGHTS INITIATIVE (DISSOLVED)
ALLIANCE COAL LLC|14CFL005336|14CFL005337|13CAC01828|S|A|07/14/2014||10000|10000||0811201416520017477|PETE RICKETTS FOR GOVERNOR
AMERICA AT ITS BEST (MT)|06CFL000438|06CFL000439|06BQC00135|S|A|05/12/2006|0|100000|100000||061320061039295713|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000438|06CFL000440|06BQC00136|S|A|05/16/2006||125000|125000||061320061039535823|NEBRASKANS FOR HUMANE CARE COMMITTEE (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000505|06CFL000510|06BQC00135|S|A|06/05/2006|100000|520000|620000||0707200609583717086|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000505|06CFL000511|06BQC00136|S|A|06/05/2006|125000|480000|605000||0707200609590117158|NEBRASKANS FOR HUMANE CARE COMMITTEE (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000524|06CFL000525|06BQC00135|S|A|07/06/2006|620000|240000|860000||080820061027596825|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000524|06CFL000526|06BQC00136|S|A|07/06/2006|605000|230000|835000|  |080820061028357001|NEBRASKANS FOR HUMANE CARE COMMITTEE (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000826|06CFL000827|06BQC00135|S|A|08/23/2006|860000|50000|910000||09112006132426803|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL000826|06CFL000828|06BQC00136|S|A|08/29/2006|835000|80000|915000| |0911200613245524409|NEBRASKANS FOR HUMANE CARE COMMITTEE (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL002227|06CFL002230|06BQC00135|S|B|10/03/2006|910000|225000|1135000||1113200607474810491|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL002227|06CFL002230|06BQC00135|S|B|10/03/2006|910000|250000|1160000||1113200607474810491|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL002227|06CFL002231|06BQC00135|S|A|10/11/2006|1135000|200000|1335000||1113200607482010520|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICA AT ITS BEST (MT)|06CFL002227|06CFL002231|06BQC00135|S|A|10/11/2006|1135000|225000|1360000||1113200607482010520|STOP OVER SPENDING NEBRASKA (DISSOLVED)
AMERICAN FEDERATION OF STATE, COUNTY & MUNICIPAL EMPLOYEES|06CFL001357|06CFL001363|99BQC00007|S|A|09/05/2006||25000|25000||1016200615361326650|NEBRASKANS FOR THE GOOD LIFE (DISSOLVED)
AMERICAN WIND ACTION|16CFL005961|16CFL005962|16CAC02127|S|B|10/26/2016||50000|50000|MEDIA PRODUCTION PLACEMENT AND MAILERS|1109201613042121232|VOTE YODER
BOLLINGER SHIPYARDS|14CFL005434|14CFL005435|13CAC01828|S|A|10/28/2014||25000|25000|NOT LISTED|1112201410390323653|PETE RICKETTS FOR GOVERNOR
BOYD GAMING CORPORATION|06CFL000364|06CFL000365|06BQC00123|S|A|03/06/2006||180000|180000||0502200609451517086|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000389|06CFL000390|06BQC00123|S|A|04/03/2006|180000|180000|360000||0508200610480626561|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000389|06CFL000391|06BQC00123|S|A|04/12/2006|0|100000|100000||0508200610484726777|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000389|06CFL000391|06BQC00123|S|A|04/12/2006|360000|100000|460000| |0508200610484726777|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000431|06CFL000432|06BQC00123|S|A|05/04/2006|460000|220000|680000||0606200612093316027|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000431|06CFL000437|06BQC00123|S|A|05/25/2006|680000|75000|755000||061320060913284543|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000497|06CFL000500|06BQC00123|S|A|06/01/2006|755000|110000|865000||070620061623268663|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000497|06CFL000503|06BQC00123|S|A|06/13/2006||150000|150000||070620061624438795|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000497|06CFL000504|06BQC00123|S|A|06/23/2006||180000|180000||070620061625048825|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000521|06CFL000522|06BQC00123|S|A|07/18/2006|1195000|100000|1295000||0803200616460519377|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000521|06CFL000523|06BQC00123|S|A|07/27/2006||145000|145000||080320061646311270|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000535|06CFL000536|06BQC00123|S|A|08/03/2006|1440000|55000|1495000||0906200613345315265|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000535|06CFL000537|06BQC00123|S|A|08/22/2006|1440000|180000|1620000||0906200613351215311|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000535|06CFL000537|06BQC00123|S|A|08/22/2006|1495000|180000|1675000||0906200613351215311|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000535|06CFL000537|06BQC00123|S|A|08/22/2006||180000|180000||0906200613351215311|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000535|06CFL000538|06BQC00123|S|A|08/31/2006|1675000|435000|2110000||090620061335325577|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
BOYD GAMING CORPORATION|06CFL000535|06CFL000538|06BQC00123|S|A|08/31/2006||435000|435000||090620061335325577|COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D
CIVIC PARTICIPATION ACTION FUND|16CFL005853|16CFL005854|16BQC00427|O|A|02/16/2016||250000|250000||0309201608242219797|RETAIN A JUST NEBRASKA
